economy_name,iso3,idi_score,idi_2023,year,region,income_group
Palestine,PSE,69.3,67.3,2024,ARB,UMI
Panama,PAN,77.6,74.8,2024,AMS,HI
Paraguay,PRY,74.1,71.7,2024,AMS,UMI
Peru,PER,76.4,73.4,2024,AMS,UMI
Philippines,PHL,74.4,65.0,2024,ASP,LMI
Poland,POL,95.8,94.6,2024,EUR,HI
Portugal,PRT,87.4,85.6,2024,EUR,HI
Qatar,QAT,97.8,97.3,2024,ARB,HI
Romania,ROU,87.6,87.0,2024,EUR,HI
Russian Federation,RUS,90.6,88.9,2024,CIS,UMI
Rwanda,RWA,46.8,40.1,2024,AFR,LI
Saint Kitts and Nevis,KNA,84.9,82.3,2024,AMS,HI
Saint Lucia,LCA,73.9,73.3,2024,AMS,UMI
Saint Vincent and the Grenadines,VCT,70.7,73.0,2024,AMS,UMI
Samoa,WSM,67.8,63.1,2024,ASP,LMI
San Marino,SMR,92.7,,2024,EUR,HI
Sao Tome and Principe,STP,55.9,54.5,2024,AFR,LMI
Saudi Arabia,SAU,95.7,94.9,2024,ARB,HI
Senegal,SEN,69.3,66.5,2024,AFR,LMI
Serbia,SRB,87.7,85.1,2024,EUR,UMI
Seychelles,SYC,84.7,80.9,2024,AFR,HI
Sierra Leone,SLE,34.3,,2024,AFR,LI
Singapore,SGP,97.8,97.4,2024,ASP,HI
Slovakia,SVK,87.1,87.1,2024,EUR,HI
Slovenia,SVN,90.8,88.4,2024,EUR,HI
Somalia,SOM,28.7,21.4,2024,ARB,LI
South Africa,ZAF,83.6,80.5,2024,AFR,UMI
Spain,ESP,92.5,91.4,2024,EUR,HI
Sri Lanka,LKA,71.3,69.9,2024,ASP,LMI
Suriname,SUR,82.5,76.8,2024,AMS,UMI
Sweden,SWE,95.3,93.9,2024,EUR,HI
Switzerland,CHE,92.4,91.6,2024,EUR,HI
Syrian Arab Republic,SYR,59.6,49.6,2024,ARB,LI
Tanzania,TZA,43.1,37.2,2024,AFR,LMI
Thailand,THA,91.0,88.7,2024,ASP,UMI
Timor-Leste,TLS,39.2,39.0,2024,ASP,LMI
Togo,TGO,46.2,40.2,2024,AFR,LI
Tonga,TON,58.2,58.2,2024,ASP,UMI
Trinidad and Tobago,TTO,78.8,76.6,2024,AMS,HI
Tunisia,TUN,77.2,75.4,2024,ARB,LMI
T�rkiye,,87.5,85.8,2024,EUR,UMI
Uganda,UGA,40.4,34.8,2024,AFR,LI
Ukraine,UKR,81.0,80.8,2024,EUR,LMI
United Arab Emirates,ARE,97.5,96.4,2024,ARB,HI
United Kingdom,GBR,93.6,92.8,2024,EUR,HI
United States,USA,96.7,96.6,2024,AMS,HI
Uruguay,URY,89.9,87.1,2024,AMS,HI
Uzbekistan,UZB,84.9,81.7,2024,CIS,LMI
Vanuatu,VUT,70.2,67.9,2024,ASP,LMI
Venezuela,VEN,67.7,64.2,2024,AMS,n.a.
Viet Nam,VNM,85.0,80.6,2024,ASP,LMI
Yemen,YEM,43.5,,2024,ARB,LI
Zambia,ZMB,55.6,49.5,2024,AFR,LMI
Zimbabwe,ZWE,47.7,42.7,2024,AFR,LMI
