iso3,name,rank_C5_in_capacity,rank_C5_in_governance,rank_delta
GBR,United Kingdom,1,2,1
KOR,South Korea,2,1,-1
FRA,France,3,4,1
EUU,European Union,4,3,-1
JPN,Japan,5,5,0
CAN,Canada,6,7,1
SGP,Singapore,7,6,-1
DEU,Germany,8,8,0
SWE,Sweden,9,9,0
ISR,Israel,10,10,0
ARE,United Arab Emirates,11,11,0
SAU,Saudi Arabia,12,12,0
IND,India,13,14,1
TWN,Taiwan,14,13,-1
